Animal,Father,Mother,Line
10977965,Sire_01,Dam_01,Wami
10978207,Sire_01,Dam_01,Wami
10978378,Sire_01,Dam_01,Wami
10978460,Sire_01,Dam_01,Wami
10977732,Sire_01,Dam_01,Wami
10978532,Sire_01,Dam_01,Wami
10978612,Sire_01,Dam_01,Wami
10977963,Sire_01,Dam_01,Wami
10977682,Sire_01,Dam_01,Wami
10978295,Sire_01,Dam_01,Wami
10977643,Sire_01,Dam_01,Wami
10978401,Sire_01,Dam_01,Wami
10978321,Sire_01,Dam_01,Wami
10978593,Sire_01,Dam_01,Wami
10977891,Sire_01,Dam_01,Wami
10978510,Sire_01,Dam_01,Wami
10978282,Sire_01,Dam_01,Wami
10978130,Sire_01,Dam_01,Wami
10977956,Sire_01,Dam_01,Wami
10978586,Sire_01,Dam_01,Wami
10978426,Sire_01,Dam_01,Wami
10978463,Sire_01,Dam_01,Wami
10977973,Sire_01,Dam_01,Wami
10978434,Sire_01,Dam_01,Wami
10978506,Sire_01,Dam_01,Wami
10977686,Sire_01,Dam_01,Wami
10978184,Sire_01,Dam_01,Wami
10978407,Sire_01,Dam_01,Wami
10977751,Sire_01,Dam_01,Wami
10977710,Sire_01,Dam_01,Wami
10977793,Sire_02,Dam_02,Wami
10977889,Sire_02,Dam_02,Wami
10977985,Sire_02,Dam_02,Wami
10977702,Sire_02,Dam_02,Wami
10978024,Sire_02,Dam_02,Wami
10978539,Sire_02,Dam_02,Wami
10978226,Sire_02,Dam_02,Wami
10977804,Sire_02,Dam_02,Wami
10977856,Sire_02,Dam_02,Wami
10978385,Sire_02,Dam_02,Wami
10978349,Sire_02,Dam_02,Wami
10978217,Sire_02,Dam_02,Wami
10978432,Sire_02,Dam_02,Wami
10977749,Sire_02,Dam_02,Wami
10978630,Sire_02,Dam_02,Wami
10978307,Sire_02,Dam_02,Wami
10977769,Sire_02,Dam_02,Wami
10978616,Sire_02,Dam_02,Wami
10977698,Sire_02,Dam_02,Wami
10977700,Sire_02,Dam_02,Wami
10978309,Sire_02,Dam_02,Wami
10978092,Sire_02,Dam_02,Wami
10978565,Sire_02,Dam_02,Wami
10977770,Sire_02,Dam_02,Wami
10978008,Sire_02,Dam_02,Wami
10978431,Sire_02,Dam_02,Wami
10977968,Sire_02,Dam_02,Wami
10978117,Sire_02,Dam_02,Wami
10978045,Sire_02,Dam_02,Wami
10978344,Sire_02,Dam_02,Wami
10978284,Sire_03,Dam_03,Wami
10978427,Sire_03,Dam_03,Wami
10977905,Sire_03,Dam_03,Wami
10978034,Sire_03,Dam_03,Wami
10977840,Sire_03,Dam_03,Wami
10978629,Sire_03,Dam_03,Wami
10978414,Sire_03,Dam_03,Wami
10978181,Sire_03,Dam_03,Wami
10978019,Sire_03,Dam_03,Wami
10978373,Sire_03,Dam_03,Wami
10978354,Sire_03,Dam_03,Wami
10978325,Sire_03,Dam_03,Wami
10977768,Sire_03,Dam_03,Wami
10977993,Sire_03,Dam_03,Wami
10978395,Sire_03,Dam_03,Wami
10978359,Sire_03,Dam_03,Wami
10977862,Sire_03,Dam_03,Wami
10977747,Sire_03,Dam_03,Wami
10977668,Sire_03,Dam_03,Wami
10977971,Sire_03,Dam_03,Wami
10978521,Sire_03,Dam_03,Wami
10978047,Sire_04,Dam_04,Wami
10978466,Sire_04,Dam_04,Wami
10975865,Sire_04,Dam_04,Wami
10977890,Sire_04,Dam_04,Wami
10978180,Sire_04,Dam_04,Wami
10977838,Sire_04,Dam_04,Wami
10977703,Sire_04,Dam_04,Wami
10977785,Sire_04,Dam_04,Wami
10978224,Sire_04,Dam_04,Wami
10978313,Sire_04,Dam_04,Wami
10978091,Sire_04,Dam_04,Wami
10978230,Sire_04,Dam_04,Wami
10978382,Sire_04,Dam_04,Wami
10977976,Sire_04,Dam_04,Wami
10977922,Sire_04,Dam_04,Wami
10977805,Sire_04,Dam_04,Wami
10978068,Sire_04,Dam_04,Wami
10978608,Sire_04,Dam_04,Wami
10977871,Sire_04,Dam_04,Wami
10978206,Sire_04,Dam_04,Wami
10978440,Sire_04,Dam_04,Wami
10978338,Sire_04,Dam_04,Wami
10978294,Sire_04,Dam_04,Wami
10975859,Sire_04,Dam_04,Wami
10978531,Sire_04,Dam_04,Wami
10978156,Sire_04,Dam_04,Wami
10978459,Sire_04,Dam_04,Wami
10978040,Sire_05,Dam_05,Chemchem
10978518,Sire_05,Dam_05,Chemchem
10975249,Sire_05,Dam_05,Chemchem
10975051,Sire_05,Dam_05,Chemchem
10975438,Sire_05,Dam_05,Chemchem
10974829,Sire_05,Dam_05,Chemchem
10974959,Sire_05,Dam_05,Chemchem
10974700,Sire_05,Dam_05,Chemchem
10975555,Sire_05,Dam_05,Chemchem
10974823,Sire_05,Dam_05,Chemchem
10977960,Sire_05,Dam_05,Chemchem
10975388,Sire_05,Dam_05,Chemchem
10975573,Sire_05,Dam_05,Chemchem
10974856,Sire_05,Dam_05,Chemchem
10974943,Sire_05,Dam_05,Chemchem
10974803,Sire_05,Dam_05,Chemchem
10975163,Sire_05,Dam_05,Chemchem
10974988,Sire_05,Dam_05,Chemchem
10975209,Sire_05,Dam_05,Chemchem
10975140,Sire_05,Dam_05,Chemchem
10975556,Sire_05,Dam_05,Chemchem
10977796,Sire_05,Dam_05,Chemchem
10975510,Sire_05,Dam_05,Chemchem
10974923,Sire_05,Dam_05,Chemchem
10974925,Sire_05,Dam_05,Chemchem
10975396,Sire_05,Dam_05,Chemchem
10975096,Sire_05,Dam_05,Chemchem
10974653,Sire_05,Dam_05,Chemchem
10974794,Sire_05,Dam_05,Chemchem
10974850,Sire_05,Dam_05,Chemchem
10975184,Sire_06,Dam_06,Chemchem
10974850,Sire_06,Dam_06,Chemchem
10975291,Sire_06,Dam_06,Chemchem
10974964,Sire_06,Dam_06,Chemchem
10974720,Sire_06,Dam_06,Chemchem
10975381,Sire_06,Dam_06,Chemchem
10974990,Sire_06,Dam_06,Chemchem
10975167,Sire_06,Dam_06,Chemchem
10975162,Sire_06,Dam_06,Chemchem
10975406,Sire_06,Dam_06,Chemchem
10975153,Sire_06,Dam_06,Chemchem
10974914,Sire_06,Dam_06,Chemchem
10975415,Sire_06,Dam_06,Chemchem
10974679,Sire_06,Dam_06,Chemchem
10974647,Sire_06,Dam_06,Chemchem
10974967,Sire_06,Dam_06,Chemchem
10974691,Sire_06,Dam_06,Chemchem
10974645,Sire_06,Dam_06,Chemchem
10974892,Sire_06,Dam_06,Chemchem
10975173,Sire_06,Dam_06,Chemchem
10975629,Sire_06,Dam_06,Chemchem
10975310,Sire_06,Dam_06,Chemchem
10974798,Sire_06,Dam_06,Chemchem
10975186,Sire_06,Dam_06,Chemchem
10975465,Sire_06,Dam_06,Chemchem
10974703,Sire_06,Dam_06,Chemchem
10974820,Sire_06,Dam_06,Chemchem
10974934,Sire_07,Dam_07,Chemchem
10975580,Sire_07,Dam_07,Chemchem
10974677,Sire_07,Dam_07,Chemchem
10974744,Sire_07,Dam_07,Chemchem
10975131,Sire_07,Dam_07,Chemchem
10975480,Sire_07,Dam_07,Chemchem
10975358,Sire_07,Dam_07,Chemchem
10975454,Sire_07,Dam_07,Chemchem
10975315,Sire_07,Dam_07,Chemchem
10975068,Sire_07,Dam_07,Chemchem
10975551,Sire_07,Dam_07,Chemchem
10974683,Sire_07,Dam_07,Chemchem
10975560,Sire_07,Dam_07,Chemchem
10975371,Sire_07,Dam_07,Chemchem
10974987,Sire_07,Dam_07,Chemchem
10975546,Sire_07,Dam_07,Chemchem
10975316,Sire_07,Dam_07,Chemchem
10974877,Sire_07,Dam_07,Chemchem
10975490,Sire_07,Dam_07,Chemchem
10975205,Sire_07,Dam_07,Chemchem
10974897,Sire_07,Dam_07,Chemchem
10975413,Sire_07,Dam_07,Chemchem
10975432,Sire_07,Dam_07,Chemchem
10975369,Sire_07,Dam_07,Chemchem
10975148,Sire_07,Dam_07,Chemchem
10974717,Sire_08,Dam_08,Chemchem
10974806,Sire_08,Dam_08,Chemchem
10974875,Sire_08,Dam_08,Chemchem
10974991,Sire_08,Dam_08,Chemchem
10974732,Sire_08,Dam_08,Chemchem
10975155,Sire_08,Dam_08,Chemchem
10975613,Sire_08,Dam_08,Chemchem
10974929,Sire_08,Dam_08,Chemchem
10975110,Sire_08,Dam_08,Chemchem
10975181,Sire_08,Dam_08,Chemchem
10974989,Sire_08,Dam_08,Chemchem
10975628,Sire_08,Dam_08,Chemchem
10975325,Sire_08,Dam_08,Chemchem
10975460,Sire_08,Dam_08,Chemchem
10975583,Sire_08,Dam_08,Chemchem
10975403,Sire_08,Dam_08,Chemchem
10977660,Sire_08,Dam_08,Chemchem
10977717,Sire_08,Dam_08,Chemchem
10979553,Sire_08,Dam_08,Chemchem
10975608,Sire_08,Dam_08,Chemchem
10975152,Sire_08,Dam_08,Chemchem
10975409,Sire_08,Dam_08,Chemchem
10974812,Sire_08,Dam_08,Chemchem
10974821,Sire_08,Dam_08,Chemchem
10975473,Sire_08,Dam_08,Chemchem
10975508,Sire_08,Dam_08,Chemchem
10974743,Sire_08,Dam_08,Chemchem
10975014,Sire_08,Dam_08,Chemchem
10974776,Sire_08,Dam_08,Chemchem
10975485,Sire_09,Dam_09,Mindu
10975074,Sire_09,Dam_09,Mindu
10974974,Sire_09,Dam_09,Mindu
10975019,Sire_09,Dam_09,Mindu
10974998,Sire_09,Dam_09,Mindu
10974956,Sire_09,Dam_09,Mindu
10975350,Sire_09,Dam_09,Mindu
10974670,Sire_09,Dam_09,Mindu
10975021,Sire_09,Dam_09,Mindu
10975330,Sire_09,Dam_09,Mindu
10975356,Sire_09,Dam_09,Mindu
10975027,Sire_09,Dam_09,Mindu
10975448,Sire_09,Dam_09,Mindu
10975130,Sire_09,Dam_09,Mindu
10975241,Sire_09,Dam_09,Mindu
10975419,Sire_09,Dam_09,Mindu
10975545,Sire_09,Dam_09,Mindu
10975498,Sire_09,Dam_09,Mindu
10975600,Sire_09,Dam_09,Mindu
10975140,Sire_09,Dam_09,Mindu
10975311,Sire_09,Dam_09,Mindu
10975621,Sire_09,Dam_09,Mindu
10974859,Sire_09,Dam_09,Mindu
10974898,Sire_09,Dam_09,Mindu
10975579,Sire_09,Dam_09,Mindu
10975262,Sire_09,Dam_09,Mindu
10975472,Sire_09,Dam_09,Mindu
10974918,Sire_010,Dam_010,Mindu
10975280,Sire_010,Dam_010,Mindu
10975482,Sire_010,Dam_010,Mindu
10974771,Sire_010,Dam_010,Mindu
10974950,Sire_010,Dam_010,Mindu
10975054,Sire_010,Dam_010,Mindu
10975048,Sire_010,Dam_010,Mindu
10974949,Sire_010,Dam_010,Mindu
10975418,Sire_010,Dam_010,Mindu
10975469,Sire_010,Dam_010,Mindu
10975491,Sire_010,Dam_010,Mindu
10974733,Sire_010,Dam_010,Mindu
10975524,Sire_010,Dam_010,Mindu
10975383,Sire_010,Dam_010,Mindu
10974769,Sire_010,Dam_010,Mindu
10975086,Sire_010,Dam_010,Mindu
10975142,Sire_010,Dam_010,Mindu
10975332,Sire_010,Dam_010,Mindu
10974740,Sire_010,Dam_010,Mindu
10974729,Sire_010,Dam_010,Mindu
10974862,Sire_010,Dam_010,Mindu
10975531,Sire_010,Dam_010,Mindu
10975135,Sire_010,Dam_010,Mindu
10975581,Sire_010,Dam_010,Mindu
10975265,Sire_010,Dam_010,Mindu
10975349,Sire_010,Dam_010,Mindu
10975500,Sire_010,Dam_010,Mindu
10975343,Sire_010,Dam_010,Mindu
10975289,Sire_010,Dam_010,Mindu
10974953,Sire_010,Dam_010,Mindu
10974815,Sire_010,Dam_010,Mindu
10974888,Sire_011,Dam_011,Mindu
10974896,Sire_011,Dam_011,Mindu
10974751,Sire_011,Dam_011,Mindu
10974749,Sire_011,Dam_011,Mindu
10974783,Sire_011,Dam_011,Mindu
10975100,Sire_011,Dam_011,Mindu
10975412,Sire_011,Dam_011,Mindu
10974978,Sire_011,Dam_011,Mindu
10975360,Sire_011,Dam_011,Mindu
10974672,Sire_011,Dam_011,Mindu
10975607,Sire_011,Dam_011,Mindu
10974799,Sire_011,Dam_011,Mindu
10975126,Sire_011,Dam_011,Mindu
10974842,Sire_011,Dam_011,Mindu
10974984,Sire_011,Dam_011,Mindu
10975050,Sire_011,Dam_011,Mindu
10975618,Sire_011,Dam_011,Mindu
10975375,Sire_011,Dam_011,Mindu
10975084,Sire_011,Dam_011,Mindu
10975071,Sire_011,Dam_011,Mindu
10975240,Sire_011,Dam_011,Mindu
10975550,Sire_011,Dam_011,Mindu
10974993,Sire_011,Dam_011,Mindu
10975229,Sire_011,Dam_011,Mindu
10976587,Sire_011,Dam_011,Mindu
10975449,Sire_011,Dam_011,Mindu
10975254,Sire_011,Dam_011,Mindu
10975424,Sire_011,Dam_011,Mindu
10974775,Sire_011,Dam_011,Mindu
10974824,Sire_011,Dam_011,Mindu
10974755,Sire_012,Dam_012,Mindu
10975474,Sire_012,Dam_012,Mindu
10975034,Sire_012,Dam_012,Mindu
10974975,Sire_012,Dam_012,Mindu
10975263,Sire_012,Dam_012,Mindu
10974985,Sire_012,Dam_012,Mindu
10974797,Sire_012,Dam_012,Mindu
10975563,Sire_012,Dam_012,Mindu
10975105,Sire_012,Dam_012,Mindu
10975337,Sire_012,Dam_012,Mindu
10975312,Sire_012,Dam_012,Mindu
10975102,Sire_012,Dam_012,Mindu
10975166,Sire_012,Dam_012,Mindu
10974807,Sire_012,Dam_012,Mindu
10974817,Sire_012,Dam_012,Mindu
10974845,Sire_012,Dam_012,Mindu
10974836,Sire_012,Dam_012,Mindu
10974681,Sire_012,Dam_012,Mindu
10974724,Sire_012,Dam_012,Mindu
10975323,Sire_012,Dam_012,Mindu
10974759,Sire_012,Dam_012,Mindu
10975446,Sire_012,Dam_012,Mindu
10974864,Sire_012,Dam_012,Mindu
10975259,Sire_012,Dam_012,Mindu
10975271,Sire_012,Dam_012,Mindu
10975108,Sire_012,Dam_012,Mindu
10975281,Sire_012,Dam_012,Mindu
10974839,Sire_012,Dam_012,Mindu
10975193,Sire_012,Dam_012,Mindu
10975314,Sire_012,Dam_012,Mindu
10974980,Sire_013,Dam_013,Utete
10975120,Sire_013,Dam_013,Utete
10975161,Sire_013,Dam_013,Utete
10975614,Sire_013,Dam_013,Utete
10974763,Sire_013,Dam_013,Utete
10974688,Sire_013,Dam_013,Utete
10974838,Sire_013,Dam_013,Utete
10974760,Sire_013,Dam_013,Utete
10975431,Sire_013,Dam_013,Utete
10974809,Sire_013,Dam_013,Utete
10975554,Sire_013,Dam_013,Utete
10975201,Sire_013,Dam_013,Utete
10974642,Sire_013,Dam_013,Utete
10974841,Sire_013,Dam_013,Utete
10975463,Sire_013,Dam_013,Utete
10975364,Sire_013,Dam_013,Utete
10975433,Sire_013,Dam_013,Utete
10974882,Sire_013,Dam_013,Utete
10975080,Sire_013,Dam_013,Utete
10975543,Sire_013,Dam_013,Utete
10975511,Sire_013,Dam_013,Utete
10975283,Sire_013,Dam_013,Utete
10975532,Sire_013,Dam_013,Utete
10975119,Sire_013,Dam_013,Utete
10975390,Sire_013,Dam_013,Utete
10975352,Sire_013,Dam_013,Utete
10975005,Sire_013,Dam_013,Utete
10975212,Sire_013,Dam_013,Utete
10975175,Sire_013,Dam_013,Utete
10974646,Sire_014,Dam_014,Utete
10974933,Sire_014,Dam_014,Utete
10975117,Sire_014,Dam_014,Utete
10974634,Sire_014,Dam_014,Utete
10975141,Sire_014,Dam_014,Utete
10975378,Sire_014,Dam_014,Utete
10975572,Sire_014,Dam_014,Utete
10975303,Sire_014,Dam_014,Utete
10975146,Sire_014,Dam_014,Utete
10975516,Sire_014,Dam_014,Utete
10975598,Sire_014,Dam_014,Utete
10975065,Sire_014,Dam_014,Utete
10974652,Sire_014,Dam_014,Utete
10975582,Sire_014,Dam_014,Utete
10975456,Sire_014,Dam_014,Utete
10975334,Sire_014,Dam_014,Utete
10974868,Sire_014,Dam_014,Utete
10974994,Sire_014,Dam_014,Utete
10975437,Sire_014,Dam_014,Utete
10975475,Sire_014,Dam_014,Utete
10975447,Sire_014,Dam_014,Utete
10974885,Sire_014,Dam_014,Utete
10974756,Sire_015,Dam_015,Utete
10975242,Sire_015,Dam_015,Utete
10975174,Sire_015,Dam_015,Utete
10974660,Sire_015,Dam_015,Utete
10974635,Sire_015,Dam_015,Utete
10974639,Sire_015,Dam_015,Utete
10975588,Sire_015,Dam_015,Utete
10975233,Sire_015,Dam_015,Utete
10975395,Sire_015,Dam_015,Utete
10975150,Sire_015,Dam_015,Utete
10975269,Sire_015,Dam_015,Utete
10975591,Sire_015,Dam_015,Utete
10974889,Sire_015,Dam_015,Utete
10974701,Sire_015,Dam_015,Utete
10975414,Sire_015,Dam_015,Utete
10975479,Sire_015,Dam_015,Utete
10974757,Sire_015,Dam_015,Utete
10975251,Sire_015,Dam_015,Utete
10974931,Sire_015,Dam_015,Utete
10975033,Sire_015,Dam_015,Utete
10974833,Sire_015,Dam_015,Utete
10975109,Sire_015,Dam_015,Utete
10974834,Sire_015,Dam_015,Utete
10975138,Sire_015,Dam_015,Utete
10975593,Sire_016,Dam_016,Utete
10975313,Sire_016,Dam_016,Utete
10974731,Sire_016,Dam_016,Utete
10974695,Sire_016,Dam_016,Utete
10975537,Sire_016,Dam_016,Utete
10975489,Sire_016,Dam_016,Utete
10975268,Sire_016,Dam_016,Utete
10974711,Sire_016,Dam_016,Utete
10975049,Sire_016,Dam_016,Utete
10975467,Sire_016,Dam_016,Utete
10974781,Sire_016,Dam_016,Utete
10975275,Sire_016,Dam_016,Utete
10974970,Sire_016,Dam_016,Utete
10974867,Sire_016,Dam_016,Utete
10975103,Sire_016,Dam_016,Utete
10975145,Sire_016,Dam_016,Utete
10975243,Sire_016,Dam_016,Utete
10975398,Sire_016,Dam_016,Utete
10974669,Sire_016,Dam_016,Utete
10974887,Sire_016,Dam_016,Utete
10974844,Sire_016,Dam_016,Utete
10975362,Sire_016,Dam_016,Utete
10974704,Sire_016,Dam_016,Utete
10975411,Sire_016,Dam_016,Utete
10975238,Sire_016,Dam_016,Utete
10975149,Sire_016,Dam_016,Utete
10974819,Sire_016,Dam_016,Utete
10975079,Sire_016,Dam_016,Utete
10974884,Sire_016,Dam_016,Utete
10974633,Sire_016,Dam_016,Utete
10975056,Sire_017,Dam_017,Kibasira
10974876,Sire_017,Dam_017,Kibasira
10974895,Sire_017,Dam_017,Kibasira
10974706,Sire_017,Dam_017,Kibasira
10974793,Sire_017,Dam_017,Kibasira
10975377,Sire_017,Dam_017,Kibasira
10975222,Sire_017,Dam_017,Kibasira
10975436,Sire_017,Dam_017,Kibasira
10974649,Sire_017,Dam_017,Kibasira
10975563,Sire_017,Dam_017,Kibasira
10975250,Sire_017,Dam_017,Kibasira
10975354,Sire_017,Dam_017,Kibasira
10975018,Sire_018,Dam_018,Kibasira
10975476,Sire_018,Dam_018,Kibasira
10975578,Sire_018,Dam_018,Kibasira
10975549,Sire_018,Dam_018,Kibasira
10975565,Sire_018,Dam_018,Kibasira
10974851,Sire_018,Dam_018,Kibasira
10975487,Sire_018,Dam_018,Kibasira
10974946,Sire_018,Dam_018,Kibasira
10974661,Sire_018,Dam_018,Kibasira
10975002,Sire_018,Dam_018,Kibasira
10975244,Sire_018,Dam_018,Kibasira
10975182,Sire_018,Dam_018,Kibasira
10974753,Sire_018,Dam_018,Kibasira
10975717,Sire_018,Dam_018,Kibasira
10975536,Sire_019,Dam_019,Kibasira
10975172,Sire_019,Dam_019,Kibasira
10975255,Sire_019,Dam_019,Kibasira
10975405,Sire_019,Dam_019,Kibasira
10975218,Sire_019,Dam_019,Kibasira
10974693,Sire_019,Dam_019,Kibasira
10974957,Sire_019,Dam_019,Kibasira
10975164,Sire_019,Dam_019,Kibasira
10975304,Sire_019,Dam_019,Kibasira
10975020,Sire_019,Dam_019,Kibasira
10975452,Sire_019,Dam_019,Kibasira
10974927,Sire_019,Dam_019,Kibasira
10975481,Sire_019,Dam_019,Kibasira
10975340,Sire_019,Dam_019,Kibasira
10974919,Sire_019,Dam_019,Kibasira
10975615,Sire_019,Dam_019,Kibasira
10975604,Sire_019,Dam_019,Kibasira
10975010,Sire_019,Dam_019,Kibasira
10975534,Sire_019,Dam_019,Kibasira
10975341,Sire_019,Dam_019,Kibasira
10975451,Sire_019,Dam_019,Kibasira
10974960,Sire_019,Dam_019,Kibasira
10975574,Sire_019,Dam_019,Kibasira
10975603,Sire_019,Dam_019,Kibasira
10975392,Sire_019,Dam_019,Kibasira
10975124,Sire_019,Dam_019,Kibasira
10974936,Sire_019,Dam_019,Kibasira
10974854,Sire_019,Dam_019,Kibasira
10975182,Sire_019,Dam_019,Kibasira
10974678,Sire_019,Dam_019,Kibasira
10974939,Sire_019,Dam_019,Kibasira
10975153,Sire_019,Dam_019,Kibasira
10977207,Sire_020,Dam_020,Nyamisati
10977619,Sire_020,Dam_020,Nyamisati
10977332,Sire_020,Dam_020,Nyamisati
10977334,Sire_020,Dam_020,Nyamisati
10977498,Sire_020,Dam_020,Nyamisati
10977414,Sire_020,Dam_020,Nyamisati
10976765,Sire_020,Dam_020,Nyamisati
10976711,Sire_020,Dam_020,Nyamisati
10977248,Sire_020,Dam_020,Nyamisati
10977192,Sire_020,Dam_020,Nyamisati
10977257,Sire_020,Dam_020,Nyamisati
10976662,Sire_020,Dam_020,Nyamisati
10976950,Sire_020,Dam_020,Nyamisati
10977276,Sire_020,Dam_020,Nyamisati
10974658,Sire_020,Dam_020,Nyamisati
10977087,Sire_020,Dam_020,Nyamisati
10977624,Sire_020,Dam_020,Nyamisati
10977150,Sire_020,Dam_020,Nyamisati
10974707,Sire_020,Dam_020,Nyamisati
10975540,Sire_020,Dam_020,Nyamisati
10976734,Sire_020,Dam_020,Nyamisati
10977399,Sire_020,Dam_020,Nyamisati
10976654,Sire_020,Dam_020,Nyamisati
10977188,Sire_020,Dam_020,Nyamisati
10976805,Sire_020,Dam_020,Nyamisati
10977528,Sire_020,Dam_020,Nyamisati
10977164,Sire_020,Dam_020,Nyamisati
10976936,Sire_020,Dam_020,Nyamisati
10976756,Sire_020,Dam_020,Nyamisati
10975517,Sire_021,Dam_021,Nyamisati
10974825,Sire_021,Dam_021,Nyamisati
10975512,Sire_021,Dam_021,Nyamisati
10975207,Sire_021,Dam_021,Nyamisati
10975170,Sire_021,Dam_021,Nyamisati
10975094,Sire_021,Dam_021,Nyamisati
10975300,Sire_021,Dam_021,Nyamisati
10974954,Sire_021,Dam_021,Nyamisati
10974780,Sire_021,Dam_021,Nyamisati
10975216,Sire_021,Dam_021,Nyamisati
10975234,Sire_021,Dam_021,Nyamisati
10974787,Sire_021,Dam_021,Nyamisati
10975047,Sire_021,Dam_021,Nyamisati
10975015,Sire_021,Dam_021,Nyamisati
10975276,Sire_021,Dam_021,Nyamisati
10974870,Sire_021,Dam_021,Nyamisati
10974847,Sire_021,Dam_021,Nyamisati
10975625,Sire_021,Dam_021,Nyamisati
10974663,Sire_021,Dam_021,Nyamisati
10975072,Sire_021,Dam_021,Nyamisati
10975248,Sire_021,Dam_021,Nyamisati
10974826,Sire_021,Dam_021,Nyamisati
10975075,Sire_021,Dam_021,Nyamisati
10975523,Sire_021,Dam_021,Nyamisati
10975126,Sire_021,Dam_021,Nyamisati
10975577,Sire_021,Dam_021,Nyamisati
10974865,Sire_021,Dam_021,Nyamisati
10975619,Sire_022,Dam_022,Nyamisati
10975211,Sire_022,Dam_022,Nyamisati
10975076,Sire_022,Dam_022,Nyamisati
10975237,Sire_022,Dam_022,Nyamisati
10975327,Sire_022,Dam_022,Nyamisati
10974979,Sire_022,Dam_022,Nyamisati
10974738,Sire_022,Dam_022,Nyamisati
10975285,Sire_022,Dam_022,Nyamisati
10975035,Sire_022,Dam_022,Nyamisati
10975568,Sire_022,Dam_022,Nyamisati
10975339,Sire_022,Dam_022,Nyamisati
10974767,Sire_022,Dam_022,Nyamisati
10975282,Sire_022,Dam_022,Nyamisati
10975044,Sire_022,Dam_022,Nyamisati
10975459,Sire_022,Dam_022,Nyamisati
10975444,Sire_022,Dam_022,Nyamisati
10975230,Sire_022,Dam_022,Nyamisati
10974900,Sire_022,Dam_022,Nyamisati
10975495,Sire_022,Dam_022,Nyamisati
10974831,Sire_022,Dam_022,Nyamisati
10975601,Sire_022,Dam_022,Nyamisati
10975037,Sire_022,Dam_022,Nyamisati
10974723,Sire_022,Dam_022,Nyamisati
10975557,Sire_022,Dam_022,Nyamisati
10975203,Sire_022,Dam_022,Nyamisati
10974730,Sire_022,Dam_022,Nyamisati
10975030,Sire_022,Dam_022,Nyamisati
10975612,Sire_022,Dam_022,Nyamisati
10974705,Sire_022,Dam_022,Nyamisati
10975272,Sire_023,Dam_023,Nyamisati
10974699,Sire_023,Dam_023,Nyamisati
10975176,Sire_023,Dam_023,Nyamisati
